Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,iris-setosa
2,4.9,3.0,1.4,0.2,iris-setosa
3,4.7,3.2,1.3,0.2,iris-setosa
4,4.6,3.1,1.5,0.2,iris-setosa
5,5.0,3.6,1.4,0.2,iris-setosa
6,5.4,3.9,1.7,0.4,iris-setosa
7,4.6,3.4,1.4,0.3,iris-setosa
8,5.0,3.4,1.5,0.2,iris-setosa
9,4.4,2.9,1.4,0.2,iris-setosa
10,4.9,3.1,1.5,0.1,iris-setosa
11,5.4,3.7,1.5,0.2,iris-setosa
12,4.8,3.4,1.6,0.2,iris-setosa
13,4.8,3.0,1.4,0.1,iris-setosa
14,4.3,3.0,1.1,0.1,iris-setosa
15,5.8,4.0,1.2,0.2,iris-setosa
16,5.7,4.4,1.5,0.4,iris-setosa
17,5.4,3.9,1.3,0.4,iris-setosa
18,5.1,3.5,1.4,0.3,iris-setosa
19,5.7,3.8,1.7,0.3,iris-setosa
20,5.1,3.8,1.5,0.3,iris-setosa
21,5.4,3.4,1.7,0.2,iris-setosa
22,5.1,3.7,1.5,0.4,iris-setosa
23,4.6,3.6,1.0,0.2,iris-setosa
24,5.1,3.3,1.7,0.5,iris-setosa
25,4.8,3.4,1.9,0.2,iris-setosa
26,5.0,3.0,1.6,0.2,iris-setosa
27,5.0,3.4,1.6,0.4,iris-setosa
28,5.2,3.5,1.5,0.2,iris-setosa
29,5.2,3.4,1.4,0.2,iris-setosa
30,4.7,3.2,1.6,0.2,iris-setosa
31,4.8,3.1,1.6,0.2,iris-setosa
32,5.4,3.4,1.5,0.4,iris-setosa
33,5.2,4.1,1.5,0.1,iris-setosa
34,5.5,4.2,1.4,0.2,iris-setosa
35,4.9,3.1,1.5,0.1,iris-setosa
36,5.0,3.2,1.2,0.2,iris-setosa
37,5.5,3.5,1.3,0.2,iris-setosa
38,4.9,3.1,1.5,0.1,iris-setosa
39,4.4,3.0,1.3,0.2,iris-setosa
40,5.1,3.4,1.5,0.2,iris-setosa
41,5.0,3.5,1.3,0.3,iris-setosa
42,4.5,2.3,1.3,0.3,iris-setosa
43,4.4,3.2,1.3,0.2,iris-setosa
44,5.0,3.5,1.6,0.6,iris-setosa
45,5.1,3.8,1.9,0.4,iris-setosa
46,4.8,3.0,1.4,0.3,iris-setosa
47,5.1,3.8,1.6,0.2,iris-setosa
48,4.6,3.2,1.4,0.2,iris-setosa
49,5.3,3.7,1.5,0.2,iris-setosa
50,5.0,3.3,1.4,0.2,iris-setosa
51,7.0,3.2,4.7,1.4,iris-versicolor
52,6.4,3.2,4.5,1.5,iris-versicolor
53,6.9,3.1,4.9,1.5,iris-versicolor
54,5.5,2.3,4.0,1.3,iris-versicolor
55,6.5,2.8,4.6,1.5,iris-versicolor
56,5.7,2.8,4.5,1.3,iris-versicolor
57,6.3,3.3,4.7,1.6,iris-versicolor
58,4.9,2.4,3.3,1.0,iris-versicolor
59,6.6,2.9,4.6,1.3,iris-versicolor
60,5.2,2.7,3.9,1.4,iris-versicolor
61,5.0,2.0,3.5,1.0,iris-versicolor
62,5.9,3.0,4.2,1.5,iris-versicolor
63,6.0,2.2,4.0,1.0,iris-versicolor
64,6.1,2.9,4.7,1.4,iris-versicolor
65,5.6,2.9,3.6,1.3,iris-versicolor
66,6.7,3.1,4.4,1.4,iris-versicolor
67,5.6,3.0,4.5,1.5,iris-versicolor
68,5.8,2.7,4.1,1.0,iris-versicolor
69,6.2,2.2,4.5,1.5,iris-versicolor
70,5.6,2.5,3.9,1.1,iris-versicolor
71,5.9,3.2,4.8,1.8,iris-versicolor
72,6.1,2.8,4.0,1.3,iris-versicolor
73,6.3,2.5,4.9,1.5,iris-versicolor
74,6.1,2.8,4.7,1.2,iris-versicolor
75,6.4,2.9,4.3,1.3,iris-versicolor
76,6.6,3.0,4.4,1.4,iris-versicolor
77,6.8,2.8,4.8,1.4,iris-versicolor
78,6.7,3.0,5.0,1.7,iris-versicolor
79,6.0,2.9,4.5,1.5,iris-versicolor
80,5.7,2.6,3.5,1.0,iris-versicolor
81,5.5,2.4,3.8,1.1,iris-versicolor
82,5.5,2.4,3.7,1.0,iris-versicolor
83,5.8,2.7,3.9,1.2,iris-versicolor
84,6.0,2.7,5.1,1.6,iris-versicolor
85,5.4,3.0,4.5,1.5,iris-versicolor
86,6.0,3.4,4.5,1.6,iris-versicolor
87,6.7,3.1,4.7,1.5,iris-versicolor
88,6.3,2.3,4.4,1.3,iris-versicolor
89,5.6,3.0,4.1,1.3,iris-versicolor
90,5.5,2.5,4.0,1.3,iris-versicolor
91,5.5,2.6,4.4,1.2,iris-versicolor
92,6.1,3.0,4.6,1.4,iris-versicolor
93,5.8,2.6,4.0,1.2,iris-versicolor
94,5.0,2.3,3.3,1.0,iris-versicolor
95,5.6,2.7,4.2,1.3,iris-versicolor
96,5.7,3.0,4.2,1.2,iris-versicolor
97,5.7,2.9,4.2,1.3,iris-versicolor
98,6.2,2.9,4.3,1.3,iris-versicolor
99,5.1,2.5,3.0,1.1,iris-versicolor
